store,fetch_date,today_date,site_updated,kind,model_id,model,dai,box_d2,box_d1,box_d0,hit_d2,hit_d1,hit_d0,prob_d2,prob_d1,prob_d0
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3807,e/押忍番長漢の頂/A03,0401,0.0,-1.0,0.0,0,1,0,,1/104,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3807,e/押忍番長漢の頂/A03,0402,-0.1,3.1,0.0,0,16,0,1/12,1/45,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3794,e/ﾜｰﾙﾄﾞﾀﾞｲｽﾀｰ/L04,0398,-2.3,0.4,-0.1,2,3,2,1/152,1/18,1/54
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3825,etakt op. DestinyH6,0404,-2.4,1.8,-2.2,12,26,3,1/241,1/125,1/180
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3733,eいせれべFSZ,0357,-1.5,0.0,0.0,1,0,0,1/185,,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3683,eとある科学の超電磁砲 LTRSY,0389,-2.5,-1.2,0.0,0,3,0,1/234,1/55,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3640,eとある魔術の禁書目録 一方通行,0406,-1.1,-0.7,0.0,0,0,0,1/129,1/84,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3640,eとある魔術の禁書目録 一方通行,0407,-0.6,-0.5,0.0,0,0,0,1/69,1/47,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3777,eひきこまり吸血姫の悶々FHV,0361,-9.8,-9.3,-2.1,5,3,1,1/221,1/365,1/289
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3806,e七つの大罪3GFEA,0370,-6.5,-1.9,12.1,2,1,8,1/324,1/213,1/106
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3414,e乃木坂46ⅡK4,0411,-1.0,-0.9,0.0,0,6,0,1/97,1/313,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3595,e仮面ﾗｲﾀﾞｰBLACK-KRJ2,0354,2.5,-0.2,0.0,5,0,0,1/116,1/27,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3785,e化物語2GSED,0360,-2.9,-1.9,-1.3,3,5,0,1/113,1/214,1/117
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3705,e北斗の拳11暴凶星SHEF,0247,15.5,-0.5,0.0,25,1,0,1/95,1/127,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3705,e北斗の拳11暴凶星SHEF,0248,0.0,-0.4,-1.0,0,0,0,,1/32,1/91
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3705,e北斗の拳11暴凶星SHEF,0249,-4.5,4.0,0.0,2,8,0,1/284,1/207,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3705,e北斗の拳11暴凶星SHEF,0250,6.6,-0.9,-0.1,11,1,0,1/104,1/101,1/16
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3705,e北斗の拳11暴凶星SHEF,0251,-6.4,-5.7,-0.5,0,2,0,1/564,1/350,1/45
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3706,e地獄少女7500Ver.RHZ,0246,5.1,-0.5,-0.8,10,8,0,1/153,1/175,1/121
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3728,e女神のｶﾌｪﾃﾗｽJLZ,0184,0.5,-1.8,0.0,3,0,0,1/119,1/349,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3728,e女神のｶﾌｪﾃﾗｽJLZ,0185,3.1,3.6,14.2,4,5,13,1/315,1/170,1/52
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0237,5.7,-1.4,-0.7,14,7,0,1/514,1/418,1/72
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0238,0.0,-3.2,0.0,0,3,2,,1/128,1/142
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0239,-0.7,-0.8,0.0,0,0,0,1/70,1/77,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0240,1.1,2.8,0.0,12,6,0,1/163,1/127,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0241,-0.8,6.7,0.0,0,9,0,1/76,1/116,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0242,-0.7,9.0,-0.1,0,20,0,1/66,1/152,1/13
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0243,-1.9,5.3,-1.9,0,13,1,1/185,1/468,1/211
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0244,12.9,13.2,1.7,19,13,4,1/220,1/182,1/249
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3803,e東京喰種MW,0181,3.1,-6.9,-2.1,13,14,0,1/223,1/387,1/423
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3803,e東京喰種MW,0182,-1.2,2.9,-2.5,31,28,1,1/317,1/340,1/603
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3803,e東京喰種MW,0183,1.9,-5.5,-3.1,16,16,1,1/297,1/608,1/668
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3565,e東京喰種W,0186,-1.6,-3.7,-0.5,3,2,2,1/238,1/224,1/70
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3565,e東京喰種W,0187,-3.0,13.0,-0.2,0,16,0,1/303,1/128,1/15
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3565,e東京喰種W,0188,17.4,-0.6,-1.8,25,8,4,1/87,1/155,1/67
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3565,e東京喰種W,0189,-2.9,-6.8,-1.2,3,2,1,1/636,1/342,1/173
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3565,e東京喰種W,0190,-10.3,-6.4,10.5,5,3,9,1/257,1/221,1/95
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3565,e東京喰種W,0191,19.2,-7.1,0.0,22,4,0,1/93,1/246,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0380,-0.5,-1.8,-0.3,0,1,0,1/42,1/192,1/23
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0381,-4.1,-2.9,0.0,0,1,0,1/365,1/274,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0382,-0.3,-3.5,0.0,0,1,0,1/34,1/346,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3791,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞ聖夜決戦編EREC,0366,-0.1,2.3,0.0,0,7,0,1/8,1/91,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3791,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞ聖夜決戦編EREC,0367,-0.8,-6.8,-2.2,0,3,1,1/65,1/219,1/208
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3792,e無職転生異世界行ったら本気だす,0368,-4.6,4.0,-0.8,6,9,0,1/423,1/282,1/70
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3656,e牙狼12XX-MJ,0233,-0.7,-5.6,0.0,1,1,0,1/158,1/570,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3656,e牙狼12XX-MJ,0234,-1.7,-3.2,0.0,0,1,0,1/173,1/465,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3656,e牙狼12XX-MJ,0235,-0.2,-2.2,0.0,0,11,0,1/31,1/232,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3656,e牙狼12XX-MJ,0236,-2.1,-13.8,0.0,3,2,0,1/234,1/770,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3746,e牙狼ﾄﾘﾌﾟﾙﾊﾞｰｽﾄRF,0177,-0.1,-1.4,-0.3,0,10,0,1/29,1/363,1/65
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3747,e甲鉄城のｶﾊﾞﾈﾘ2GFEA,0371,0.0,-0.5,0.0,0,0,0,,1/45,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3720,e盾の勇者の成り上がりEREF,0245,-0.1,-0.9,-0.3,0,1,0,1/14,1/86,1/28
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3731,e真北斗無双5夢幻闘双SCEA,0231,-0.6,-0.1,-1.2,0,0,0,1/71,1/12,1/123
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3731,e真北斗無双5夢幻闘双SCEA,0232,-0.1,-0.3,-0.2,0,0,1,1/5,1/27,1/19
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3653,e真･一騎当千~軍神覚醒~AM-TS,0408,2.0,5.5,0.0,15,14,0,1/133,1/162,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3793,e結城友奈は勇者であるMP,0369,0.0,-0.3,-2.4,0,0,0,,1/29,1/215
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3650,e花の慶次~傾奇一転H6,0355,0.0,-1.3,0.0,0,0,0,,1/141,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3650,e花の慶次~傾奇一転H6,0356,-0.9,0.0,0.0,0,0,0,1/132,,
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3696,e花の慶次~黄金の一撃H4,0372,-3.8,-0.1,-3.1,1,0,0,1/456,1/9,1/265
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3696,e花の慶次~黄金の一撃H4,0373,-0.6,-13.2,-4.4,0,4,2,1/57,1/751,1/259
東名,2026-09-10,2026-09-10,9/10 13:31,パチンコ,3696,e花の慶次~黄金の一撃H4,0374,2.8,0.0,5.2,17,0,8,1/169,,1/102
